,title,description,publishedAt
0,"Jobless claims fall to 751,000 in last report before election - CNN","Some 751,000 Americans filed first-time unemployment benefits last week, the Department of Labor said Thursday in its last report before the presidential election.",2020-10-29
1,Early voting: Supreme Court moves in Pennsylvania and North Carolina set up potential post-election court fight over mail-in ballots - CNNPolitics,"The Supreme Court on Wednesday allowed Pennsylvania and North Carolina to count ballots received after Election Day, victories for Democrats who have been pushing for states to allow additional time due to the vast number of mail-in votes cast during the coronavirus pandemic.",2020-10-29
2,These two counties could decide Florida - CNN Video,CNN's John Avlon shows how Pinellas and Hillsborough counties could decide who gets Florida's Electoral College votes in the 2020 presidential election.,2020-10-29
3,"Jobless claims fall to 751,000 in last report before election - CNN","Some 751,000 Americans filed first-time unemployment benefits last week, the Department of Labor said Thursday in its last report before the presidential election.",2020-10-29
4,US election 2020: What India thinks of the US election (opinion) - CNN,"Narendra Modi has gone out of his way to woo Donald Trump in order to soften the hard edges of his trade and immigration policies, writes Pramit Pal Chaudhuri. But that doesn't mean the Indian prime minister will be disappointed if Trump loses the White House.  ",2020-10-29
5,Where Trump and Biden stand in CNN's latest poll of polls,The CNN Poll of Polls tracks the average poll result in the race for president between President Trump and former Democratic nominee Joe Biden. ,2020-10-29
6,Biden leads Trump 54% to 42% in new CNN national poll - CNN Video,CNN's David Chalian reports. ,2020-10-29
7,Former Trump campaign official: I believed Trump's con - CNN Video,"Former Trump campaign official Jessica Denson is now backing former Vice President Joe Biden for president, calling the Trump campaign a ""vile, self-serving branding exercise"" for Trump and his family. ",2020-10-29
8,Biden says 'no excuse for looting' in wake of Wallace shooting - CNN Video,"After casting his vote in the general election, Joe Biden was asked for his thoughts on the death of 27-year-old Walter Wallace Jr., who was shot and killed by Philadelphia Police.",2020-10-29
9,Pennsylvania voters worry about future of fracking amid election - CNN Video,"In Western Pennsylvania, where fracking for natural gas is a major economic driver, many worry about the future of fracking in the last week of the 2020 presidential election.",2020-10-29
10,Early voting: More than a third of registered voters have already voted - CNNPolitics,"More than a third of registered voters -- 74 million Americans -- have already voted with six days left until Election Day, an unprecedented shift driven by the coronavirus pandemic and interest in the presidential race.",2020-10-29
