,publish_date,headline_text
0,20030219,aba decides against community broadcasting licence
1,20030219,act fire witnesses must be aware of defamation
2,20030219,a g calls for infrastructure protection summit
3,20030219,air nz staff in aust strike for pay rise
4,20030219,air nz strike to affect australian travellers
5,20030219,ambitious olsson wins triple jump
6,20030219,antic delighted with record breaking barca
7,20030219,aussie qualifier stosur wastes four memphis match
8,20030219,aust addresses un security council over iraq
9,20030219,australia is locked into war timetable opp
10,20030219,australia to contribute 10 million in aid to iraq
11,20030219,barca take record as robson celebrates birthday in
12,20030219,bathhouse plans move ahead
13,20030219,big hopes for launceston cycling championship
14,20030219,big plan to boost paroo water supplies
15,20030219,blizzard buries united states in bills
16,20030219,brigadier dismisses reports troops harassed in
17,20030219,british combat troops arriving daily in kuwait
18,20030219,bryant leads lakers to double overtime win
19,20030219,bushfire victims urged to see centrelink
20,20030219,businesses should prepare for terrorist attacks
21,20030219,calleri avenges final defeat to eliminate massu
22,20030219,call for ethanol blend fuel to go ahead
23,20030219,carews freak goal leaves roma in ruins
24,20030219,cemeteries miss out on funds
25,20030219,code of conduct toughens organ donation regulations
26,20030219,commonwealth bank cuts fixed home loan rates
27,20030219,community urged to help homeless youth
28,20030219,council chief executive fails to secure position
29,20030219,councillor to contest wollongong as independent
30,20030219,council moves to protect tas heritage garden
31,20030219,council welcomes ambulance levy decision
32,20030219,council welcomes insurance breakthrough
33,20030219,crean tells alp leadership critics to shut up
34,20030219,dargo fire threat expected to rise
35,20030219,death toll continues to climb in south korean subway
36,20030219,dems hold plebiscite over iraqi conflict
37,20030219,dent downs philippoussis in tie break thriller
38,20030219,de villiers to learn fate on march 5
39,20030219,digital tv will become commonplace summit
40,20030219,direct anger at govt not soldiers crean urges
41,20030219,dispute over at smithton vegetable processing plant
42,20030219,dog mauls 18 month old toddler in nsw
43,20030219,dying korean subway passengers phoned for help
44,20030219,england change three for wales match
45,20030219,epa still trying to recover chemical clean up costs
46,20030219,expressions of interest sought to build livestock
47,20030219,fed opp to re introduce national insurance
